report_id,type,comment,area,user_id,status,report_time,response_time,department_id
R311,water,No water supply,Industrial Zone,U006,submitted,2026-05-06T03:26:00,,D019
R312,traffic,Heavy traffic near intersection,Industrial Zone,U091,submitted,2026-05-07T12:21:00,,D018
R313,electricity,Power outage in neighborhood,University,U028,resolved,2026-05-02T06:25:00,36,D012
R314,water,Water leakage from pipe,Downtown,U078,in_progress,2026-05-06T06:18:00,,D004
R315,water,No water supply,East Side,U048,resolved,2026-05-07T08:06:00,164,D034
R316,trash,Garbage container overflowing,Old City,U098,submitted,2026-05-02T00:57:00,,D006
R317,trash,Garbage container overflowing,North District,U035,in_progress,2026-05-04T21:29:00,,D021
R318,traffic,Traffic light malfunction,West Side,U007,in_progress,2026-05-02T14:08:00,,D038
R319,electricity,Street light not working,University,U017,resolved,2026-05-04T01:07:00,166,D012
R320,water,No water supply,University,U095,resolved,2026-05-04T18:05:00,14,D014
R321,water,No water supply,West Side,U097,in_progress,2026-05-07T11:18:00,,D039
R322,road_damage,Large pothole on road,University,U080,resolved,2026-05-03T19:43:00,188,D015
R323,trash,Garbage container overflowing,Industrial Zone,U048,resolved,2026-05-04T05:02:00,131,D016
R324,electricity,Street light not working,Old City,U019,in_progress,2026-05-03T00:53:00,,D007
R325,road_damage,Road cracks becoming dangerous,North District,U038,submitted,2026-05-08T00:33:00,,D025
R326,trash,Trash not collected,University,U043,submitted,2026-05-07T14:37:00,,D011
R327,electricity,Electrical sparks near pole,Downtown,U028,submitted,2026-05-01T13:35:00,,D002
R328,road_damage,Damaged sidewalk,Old City,U044,submitted,2026-05-07T13:31:00,,D010
R329,electricity,Electrical sparks near pole,South District,U078,in_progress,2026-05-04T10:48:00,,D027
R330,road_damage,Large pothole on road,Downtown,U021,in_progress,2026-05-02T07:08:00,,D005
R331,road_damage,Large pothole on road,North District,U066,in_progress,2026-05-06T01:36:00,,D025
R332,traffic,Heavy traffic near intersection,Old City,U042,in_progress,2026-05-06T19:05:00,,D008
R333,electricity,Electrical sparks near pole,South District,U073,in_progress,2026-05-04T22:20:00,,D027
R334,road_damage,Large pothole on road,Downtown,U042,submitted,2026-05-05T19:07:00,,D005
R335,electricity,Power outage in neighborhood,East Side,U006,submitted,2026-05-05T11:31:00,,D032
R336,road_damage,Road cracks becoming dangerous,Old City,U027,resolved,2026-05-07T17:41:00,171,D010
R337,road_damage,Large pothole on road,West Side,U105,resolved,2026-05-05T18:19:00,65,D040
R338,water,Flooding near building,Old City,U071,in_progress,2026-05-04T10:56:00,,D009
R339,water,Flooding near building,South District,U060,in_progress,2026-05-05T04:03:00,,D029
R340,trash,Garbage container overflowing,East Side,U060,submitted,2026-05-01T14:27:00,,D031
R341,water,Flooding near building,West Side,U010,in_progress,2026-05-03T16:12:00,,D039
R342,road_damage,Large pothole on road,North District,U074,submitted,2026-05-02T09:52:00,,D025
R343,traffic,Road congestion during rush hour,East Side,U057,resolved,2026-05-05T03:13:00,239,D033
R344,water,No water supply,East Side,U037,resolved,2026-05-07T20:13:00,117,D034
R345,road_damage,Road cracks becoming dangerous,Old City,U091,in_progress,2026-05-08T02:59:00,,D010
R346,electricity,Power outage in neighborhood,North District,U010,resolved,2026-05-07T02:12:00,98,D022
R347,traffic,Traffic light malfunction,South District,U079,submitted,2026-05-07T15:38:00,,D028
R348,trash,Bad smell from waste area,East Side,U112,resolved,2026-05-03T23:52:00,52,D031
R349,water,No water supply,East Side,U029,submitted,2026-05-02T12:24:00,,D034
R350,water,Water leakage from pipe,East Side,U094,resolved,2026-05-07T00:38:00,220,D034
R351,trash,Bad smell from waste area,Old City,U030,in_progress,2026-05-02T09:11:00,,D006
R352,water,No water supply,South District,U046,submitted,2026-05-03T21:36:00,,D029
R353,trash,Trash not collected,Old City,U023,in_progress,2026-05-01T19:42:00,,D006
R354,traffic,Traffic light malfunction,University,U013,submitted,2026-05-04T11:52:00,,D013
R355,traffic,Traffic light malfunction,West Side,U018,in_progress,2026-05-01T17:14:00,,D038
R356,traffic,Traffic light malfunction,North District,U105,submitted,2026-05-06T09:47:00,,D023
R357,traffic,Traffic light malfunction,Old City,U074,resolved,2026-05-07T19:25:00,23,D008
R358,electricity,Street light not working,North District,U083,resolved,2026-05-02T14:06:00,134,D022
R359,trash,Bad smell from waste area,Industrial Zone,U106,submitted,2026-05-01T22:44:00,,D016
R360,traffic,Heavy traffic near intersection,North District,U043,in_progress,2026-05-02T06:48:00,,D023
R361,road_damage,Large pothole on road,West Side,U070,in_progress,2026-05-06T21:21:00,,D040
R362,trash,Bad smell from waste area,Downtown,U078,submitted,2026-05-04T21:16:00,,D001
R363,traffic,Traffic light malfunction,West Side,U066,resolved,2026-05-05T23:22:00,15,D038
R364,trash,Bad smell from waste area,West Side,U004,in_progress,2026-05-03T08:59:00,,D036
R365,trash,Trash not collected,South District,U056,in_progress,2026-05-08T00:14:00,,D026
R366,water,Water leakage from pipe,South District,U072,in_progress,2026-05-01T09:36:00,,D029
R367,water,No water supply,Industrial Zone,U032,resolved,2026-05-05T11:47:00,61,D019
R368,traffic,Road congestion during rush hour,University,U089,in_progress,2026-05-07T17:02:00,,D013
R369,road_damage,Large pothole on road,East Side,U063,submitted,2026-05-01T17:43:00,,D035
R370,traffic,Traffic light malfunction,Industrial Zone,U051,submitted,2026-05-03T07:59:00,,D018
R371,traffic,Road congestion during rush hour,Old City,U077,resolved,2026-05-07T10:27:00,27,D008
R372,trash,Trash not collected,Industrial Zone,U116,resolved,2026-05-02T05:57:00,158,D016
R373,traffic,Road congestion during rush hour,North District,U052,submitted,2026-05-06T01:41:00,,D023
R374,water,Flooding near building,West Side,U016,in_progress,2026-05-02T09:08:00,,D039
R375,electricity,Power outage in neighborhood,North District,U097,in_progress,2026-05-05T11:27:00,,D022
R376,traffic,Road congestion during rush hour,East Side,U083,resolved,2026-05-06T00:39:00,37,D033
R377,traffic,Road congestion during rush hour,Downtown,U002,in_progress,2026-05-02T06:04:00,,D003
R378,trash,Bad smell from waste area,Old City,U042,in_progress,2026-05-05T08:54:00,,D006
R379,road_damage,Large pothole on road,Old City,U004,resolved,2026-05-04T13:23:00,200,D010
R380,water,No water supply,East Side,U008,submitted,2026-05-03T14:45:00,,D034
R381,traffic,Heavy traffic near intersection,University,U061,resolved,2026-05-02T17:19:00,210,D013
R382,road_damage,Damaged sidewalk,Downtown,U060,resolved,2026-05-07T15:55:00,67,D005
R383,electricity,Electrical sparks near pole,East Side,U105,in_progress,2026-05-02T12:12:00,,D032
R384,road_damage,Large pothole on road,North District,U068,in_progress,2026-05-04T17:21:00,,D025
R385,trash,Garbage container overflowing,Downtown,U119,submitted,2026-05-07T10:47:00,,D001
R386,water,Flooding near building,South District,U084,in_progress,2026-05-07T13:53:00,,D029
R387,trash,Trash not collected,Industrial Zone,U065,in_progress,2026-05-04T16:32:00,,D016
R388,trash,Bad smell from waste area,North District,U075,submitted,2026-05-06T17:25:00,,D021
R389,water,Flooding near building,East Side,U013,in_progress,2026-05-06T23:23:00,,D034
R390,electricity,Power outage in neighborhood,Downtown,U016,submitted,2026-05-06T01:27:00,,D002
R391,water,Water leakage from pipe,West Side,U069,resolved,2026-05-04T23:23:00,57,D039
R392,electricity,Power outage in neighborhood,North District,U060,submitted,2026-05-03T14:28:00,,D022
R393,trash,Bad smell from waste area,North District,U067,resolved,2026-05-04T07:51:00,144,D021
R394,electricity,Electrical sparks near pole,South District,U082,submitted,2026-05-03T02:44:00,,D027
R395,electricity,Electrical sparks near pole,South District,U094,submitted,2026-05-03T01:27:00,,D027
R396,electricity,Street light not working,Downtown,U076,submitted,2026-05-02T04:51:00,,D002
R397,electricity,Street light not working,Downtown,U118,in_progress,2026-05-02T08:16:00,,D002
R398,water,No water supply,Downtown,U059,in_progress,2026-05-02T02:10:00,,D004
R399,traffic,Heavy traffic near intersection,Downtown,U055,submitted,2026-05-02T05:07:00,,D003
R400,road_damage,Damaged sidewalk,Old City,U015,resolved,2026-05-01T16:42:00,225,D010
